id,tweet,language,date,time,user_id,name,username,retweets_count,replies_count,likes_count
1577654769098842112,Ya están aquí nuestros primeros mini emprendedores 🤩 pasándoselo en grande mientras empiezan el proceso de ideación de sus proyectos-   Con el programa de @GenyusSchool descubren su YO emprendedor mientras se divierten👏  ¡Aún estás a tiempo!👉 https://t.co/uaEMCO1jGy  https://t.co/80gibJEUcI,es,2022-10-05,15:39:43,1162694149956603904,The Bridge,thebridge_tech,2,0,3
1577564440530124802,¡Feliz Día a nuestros Lead Instructors y Teacher Assistants! 🎉 Sabemos que en ocasiones un #bootcamp es duro para tod@s pero cada día dais el 💯%  ¡Gracias por hacer lo #digital mucho más fácil!  #diamundialdelosdocentes #data #ciber #desarrollowebfullstack #mkt #uxui #cloud  https://t.co/Qnehy8ODCq,es,2022-10-05,09:40:47,1162694149956603904,The Bridge,thebridge_tech,2,0,2
1577334577701453827,"Recordaros que la semana que viene tenemos la primera quedada #CPS en Madrid, en @TheBridge_Tech, en el que tendremos la gran suerte de contar con @Recuenco para que nos dé una charla. Las plazas se han agotado, pero os podéis apuntar al grupo para próximas quedadas 🚀",es,2022-10-04,18:27:23,1003872445,Pau Mugarra,paumugarra,2,0,12
1576951801047179264,"¡Vuelven las #becas Digital Talent Pipeline!  1⃣0⃣0⃣ becas para formarte en la próxima edición de nuestros #bootcamp en Madrid, Valencia y Sevilla.  ¡Solicita ya tu beca!🏃‍♀️ https://t.co/V5kikwpJrD  #dtp #becasformacion #digitaltalent  https://t.co/q7RVbD2iLU",es,2022-10-03,17:06:22,1162694149956603904,The Bridge,thebridge_tech,1,0,1
1576902991507922944,El desarrollador web es uno de los perfiles más demandados en el mercado laboral 📈  Descubre nuestro #bootcamp Desarrollo Web Full Stack de la mano de @TheBridge_Tech 💻  Toda la información aquí! 👇  https://t.co/LOoTu97aQq  https://t.co/xpaAzxXSDX,es,2022-10-03,13:52:25,2529499620,Formación Fundación Universidad Carlos III,formacion_fuc3,3,0,3
1576856703349374976,@jorgegrev @TheBridge_Tech Enhorabuena crack!,es,2022-10-03,10:48:29,706520411551494145,JoseSola,jose_sola_,0,0,1
1575217357105946624,Hoy por fin ve la luz mi primer Case Study público. Un trabajo intensivo de fin de bootcamp realizado con un cliente real @emancipaTIC  y dos semanas para que las 5 verticales en @TheBridge_Tech hiciésemos realidad un MVP. Os invito a verlo y dar feedback.  https://t.co/rkCjxulYS9  https://t.co/PqM0dvxj3X,es,2022-09-28,22:14:18,604485175,Berta Otero,bertinha84,3,0,4
1575074337761132545,¡Nuevo acuerdo de colaboración con @michaelpage_es! 🤝  👩‍💻Alianza clave en nuestro objetivo de reducir la brecha de competencias digitales y dotar de profesionales técnicos a las empresas.  #brechadigital #empleabilidad #digitaltalent  https://t.co/tEFiLxMjnA,es,2022-09-28,12:46:00,1162694149956603904,The Bridge,thebridge_tech,1,0,4
1574849353172373504,"¿Eres o quieres ser talento IT y estás en España? 🇪🇸 Si la respuesta es sí, te contamos que tenemos alianzas con @IDBootcamps y @TheBridge_Tech💻  Estamos felices abrir nuestras puertas para que estudiantes de nuestros partners se conviertan en futuros Yellowers 🥳",es,2022-09-27,21:51:59,1391838162830385165,Apiux Tecnología,apiuxtecnologia,1,1,2
1574307391029579777,¡Estamos muy orgullosos de formar equipo junto a @Stemdo_io! Participando en la formación de sus futuros empleados con el #bootcamp de #cloud y #devops 🧑‍💻  Ayudando a desarrollar el talento y empleo digital en zonas con alta tasa de paro y pocas oportunidades en el sector #STEM.,es,2022-09-26,09:58:25,1162694149956603904,The Bridge,thebridge_tech,2,0,3
1573246948693651456,Y seguimos con lo prometido:  Primera quedada de la comunidad #CPS en Madrid 🚀:  https://t.co/xnWjKu6fPi en un espacio cedido por @TheBridge_Tech.,es,2022-09-23,11:44:36,1003872445,Pau Mugarra,paumugarra,7,0,20
1573232184454172674,@TheBridge_Tech @valerybriz @graphext ¡Muchas gracias a @TheBridge_Tech por alojarnos! 🔥,es,2022-09-23,10:45:56,1494355208473874438,PyData Madrid,pydatamadrid,0,0,1
1573210903343992833,Ayer pudimos disfrutar del eventazo de @PyDataMadrid en nuestro palacio🙌Conocimos un montón sobre acelerar flujos de datos y modelos de aprendizaje ¡@valerybriz y @graphext gracias por venir!  #datascience #Python  https://t.co/gh9kVA0KdD,es,2022-09-23,09:21:22,1162694149956603904,The Bridge,thebridge_tech,4,1,7
1572916570153979905,Estamos muy contentos de colaborar desde @TheBridge_Tech en esta iniciativa de @Stemdo_io porque tenemos que colaborar entre todos para desarrollar e incrementar la disponibilidad del talento,es,2022-09-22,13:51:48,12085582,diegodl,diegodl,0,0,2
1572869114896568321,"¿Buscando un empleo en #DataScience? Asiste a AI Careers, el primer evento en Analítica de Datos e Inteligencia Artificial del mundo hispano-hablante.  ¡Impulsa tu carrera y conecta con empresas y expertos! @AI_Network_es   📅30 sep 🎟Entradas  https://t.co/V5FFLIOXEs  https://t.co/hwwoCo1ga0",es,2022-09-22,10:43:14,1162694149956603904,The Bridge,thebridge_tech,2,0,1
1571528997971922945,@valerybriz @graphext @TheBridge_Tech Hemos llenado el aforo ⚠️ pero ¡aún estás a tiempo de apuntarte a la lista de espera! ¡Nos vemos el jueves!,es,2022-09-18,17:58:05,1494355208473874438,PyData Madrid,pydatamadrid,0,0,1
1570708211866677249,Esta semana la gerente de @BiohubVLC @sabrinafemenia ha  firmado un convenio de colaboración con @TheBridge_Tech para cubrir la demanda de profesionales #tech en el sector #salud  Consulta toda la información sobre el acuerdo  https://t.co/YvwLOPIVV0  https://t.co/7tGh7BzxWg,es,2022-09-16,11:36:34,1131933723681800193,Biohub VLC,biohubvlc,0,0,2
1570687218565656577,❗ Interesante beca formativa.  ℹ Desde el COITCV-AVIT hemos firmando un convenio de colaboración con @TheBridge_Tech gracias al cual nuestros asociados y colegiados disfrutarán de una beca en el programa Bootcamp de #Ciberseguridad.  Toda la info 👇  https://t.co/y45Trv55Ao,es,2022-09-16,10:13:09,1073622740,COITCV/AVIT,coitcv,0,0,0
1570460916478611457,"@AnaWhitewolf @IronhackMAD @ISDICoders @Ubiqum @4GeeksAcademyES @hackaboss_ @KeepCoding_ @uxerschool @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders @Open_Bootcamp Si, si, haz un PR 😘",es,2022-09-15,19:13:54,41110484,Raúl Cotrina,raulcotrina,0,0,3
1570422003366072320,"@raulcotrina @IronhackMAD @ISDICoders @Ubiqum @4GeeksAcademyES @hackaboss_ @KeepCoding_ @uxerschool @TheBridge_Tech @CraftCodeTech @CodeHouseLearn @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders Claro! Faltamos nosotrxs, @Open_Bootcamp 😊. Ahora te paso la info por DM que no sé si puedo ponerlo a piñón en el GitHub 🎸",es,2022-09-15,16:39:17,210026854,Ana Amar🎃,anawhitewolf,0,1,3
1570359001090772997,"¡Acabamos de firmar un acuerdo con @BiohubVLC! 🤝Contribuimos así a cubrir la necesidad de profesionales digitales en un sector al alza, el #biotech 🦿 que demanda expertos en #datascience, #ciberseguridad y #cloud &amp; #devops🧑‍💻  Más info 👉 https://t.co/3bYdlNwT2a  https://t.co/YCxvjj13bf",es,2022-09-15,12:28:56,1162694149956603904,The Bridge,thebridge_tech,2,0,1
1570317872567558150,❗ Interesante descuento en formación.  ℹ Desde el COITCV-AVIT hemos firmando un convenio de colaboración con @TheBridge_Tech gracias al cual nuestros asociados y colegiados disfrutarán de un descuento del 25% en el programa Bootcamp de #Ciberseguridad.   https://t.co/y45Trv4xKQ,es,2022-09-15,09:45:30,1073622740,COITCV/AVIT,coitcv,0,0,1
1570049430807785472,Hoy he hecho el primer mind map de mi vida entera gracias a @TheBridge_Tech  Día 3. Aprendiendo muchisísimo.¡Comenzamos! #uxdesign #ui #uxui #mindmap #visualthinking #sketchnote #mentalmap #uxlearning  https://t.co/TNBOoBXIxK,es,2022-09-14,15:58:49,394734366,Sandra Huerga,sanhuerga,2,1,5
1570013370434322438,"Si te interesa el mundo del dato, python... ¡Tenemos nuevo evento de #DataScience de la mano de @PyDataMadrid! Contaremos con @valerybriz y @graphext  📅Jueves 22 de septiembre ⏰19h   ¡No te lo pierdas!👇  https://t.co/Gpe3jdqGPr  #data #cienciadedatos #python",es,2022-09-14,13:35:31,1162694149956603904,The Bridge,thebridge_tech,4,0,3
1569694413332299782,"🧑‍💻¡Feliz Día a todos los programadores y programadoras! 👩‍💻  Que un "";"" o ""&lt;"" no os impidan disfrutar de vuestro día y de una profesión tan retadora como apasionante ⚔  #felizdiadelprogramador #fullstackwebdevelopment  https://t.co/tOlIkEY2Ne",es,2022-09-13,16:28:06,1162694149956603904,The Bridge,thebridge_tech,0,0,2
1569355311227568130,.@TheBridge_Tech formará a los futuros profesionales en ciberseguridad de @Fujitsu_ES ▶  https://t.co/a7XYEw0DMh  https://t.co/rgmUH4Susw,es,2022-09-12,18:00:38,581925228,Fujitsu España,fujitsu_es,1,0,4
1569295332076404738,"Mañana a las 18.30h tenemos otra de las sesiones sobre ""Emotional Wellness"" 🧘‍♀️, esta vez @Mariagutim de @Hiwook_Jobs nos hablará del síndrome del impostor ¿Te lo vas a perder? Saca tu entrada 🎟 https://t.co/QXAV18d9Uk",es,2022-09-12,14:02:17,1162694149956603904,The Bridge,thebridge_tech,1,0,2
1567815140455710721,Ya está abierto el registro para nuestra reunión de septiembre: 🔥 Acelerando flujos de datos y modelos de aprendizaje   https://t.co/IwXoPprRbS  Contaremos con @valerybriz y la gente de @graphext. ¡Nos vemos el jueves 22 de septiembre a las 19:00 en @TheBridge_Tech!,es,2022-09-08,12:00:32,1494355208473874438,PyData Madrid,pydatamadrid,5,1,8
1567802683360219136,".@TheBridge_Tech y @Fujitsu_ES se unen para incrementar el mercado de #ciberseguridad en España, que cuenta con una demanda hoy de 30.000 profesionales.  Léelo en @elEconomistaes.  https://t.co/7Mw1oG7FzI  https://t.co/YTpoK1CITH",es,2022-09-08,11:11:02,581925228,Fujitsu España,fujitsu_es,0,0,1
1567794116418838528,Si quieres potenciar el espíritu emprendedor de tus hij@s el nuevo programa de @GenyusSchool y @TheBridge_Tech ¡es tu sitio!😉  🙌 Un lugar donde aprender desarrollando sus propias ideas y superando retos en equipo.  Más info 👉 https://t.co/4WZRbwvCK7  https://t.co/0gT0pvDvKG,es,2022-09-08,10:37:00,1162694149956603904,The Bridge,thebridge_tech,1,0,2
1566744716091265024,"Fujitsu y @TheBridge_Tech se unen por el futuro de la #ciberseguridad 🛡️ En virtud de esta alianza, formarán juntos a los futuros profesionales del área de ciberseguridad de @Fujitsu_ES, organizarán actividades formativas, talleres, eventos...   https://t.co/SGdU061RHw  https://t.co/Weo3LGQuxm",es,2022-09-05,13:07:03,581925228,Fujitsu España,fujitsu_es,0,0,2
1566739530413219841,¡Open Day #Valencia!🤗Ven con un amig@ a conocer el campus de @uchceu y los bootcamps en #ciber #data #uxui y #fullstack 👩‍💻  Necesitas un cambio en tu carrera❓ Descubre cómo puedes formarte en un perfil digital  📅Lunes 12 ⏰18 horas  🎟Inscríbete ya👇 https://t.co/CLUEFGvcRA,es,2022-09-05,12:46:27,1162694149956603904,The Bridge,thebridge_tech,1,0,1
1566667913934868486,@raulcotrina @AnaWhitewolf @IronhackMAD @ISDICoders @Ubiqum @4GeeksAcademyES @hackaboss_ @KeepCoding_ @uxerschool @TheBridge_Tech @CraftCodeTech @CodenotchMAD @NeolandStudio @Adalab_Digital @IEuniversity @lemoncoders ¡Eso está hecho! ;),es,2022-09-05,08:01:52,1141978357640380416,CodeHouse Academy,codehouselearn,0,0,0
1566371046185369600,Nos dais una mano a ampliarlo y tenerlo actualizado? @AnaWhitewolf @IronhackMAD @ISDICoders @Ubiqum @4GeeksAcademyES @hackaboss_ @KeepCoding_ @uxerschool   @TheBridge_Tech @CraftCodeTech   @CodeHouseLearn @CodenotchMAD @NeolandStudio   @Adalab_Digital @IEuniversity @lemoncoders,es,2022-09-04,12:22:13,41110484,Raúl Cotrina,raulcotrina,0,3,6
1565731733085069313,. @TheBridge_Tech y @Fujitsu_ES  se unen para cubrir la demanda de profesionales en #ciberseguridad 🚀  https://t.co/CxHq7ipYbN #tech #tecnología,es,2022-09-02,18:01:49,161718323,Equipos&Talento,equiposytalento,0,0,2
1565293439373172737,"¿Sabías que la #ciberseguridad es la quinta área de empleo cuya demanda más ha crecido en lo que llevamos de año? Para acompañar en su formación al talento joven, @Fujitsu_ES ha firmado una acuerdo con @TheBridge_Tech.  Te contamos más:  https://t.co/TrXKApChsd  https://t.co/kHnpzjKtaE",es,2022-09-01,13:00:12,581925228,Fujitsu España,fujitsu_es,2,0,4
1564951151124029441,"¿Quieres impulsar tu perfil profesional en el ámbito digital?  🔥¡Descubre los #bootcamps de @ENCamaraSevilla y @TheBridge_Tech y despega en el sector tecnológico!  🚀La formación más innovadora en #DesarrolloWeb #FullStack, #DataScience y #Ciberseguridad:  https://t.co/dI7Go0yJsW  https://t.co/598NsYg0Ud",es,2022-08-31,14:20:04,106344840,Cámara de Comercio de Sevilla,camaradesevilla,11,0,13
1564930939586740224,¡Hemos firmado un acuerdo con @Fujitsu_ES para formar a perfiles en #ciberseguridad! Muy ilusionados con esta alianza para apoyar con formación a una compañía tan potente en su crecimiento en materia de seguridad informática🚀  👉 https://t.co/MJKkZq24HS  #bootcamp #cyber #empleo  https://t.co/kVWSvjfq9f,es,2022-08-31,12:59:45,1162694149956603904,The Bridge,thebridge_tech,1,0,4
1564161569537363968,"📺Hemos salido en @sextaNoticias como ejemplo de #reskilling gracias a los #bootcamps 🧑‍💻  🟢""Apostar por estos procesos de reciclaje a las empresas les cuesta menos y tiene también menos coste social"",@ikerarceseco, CEO @TheBridge_Tech   Noticia completa👉 https://t.co/00YLRaZyt9",es,2022-08-29,10:02:33,1162694149956603904,The Bridge,thebridge_tech,1,0,2
1563117283601289216,"¿Cómo es hacer un #bootcamp mientras estudias o trabajas?💪 Nos lo cuenta José Miguel, alumno del bootcamp de #desarrollowebfullstack en formato #parttime   ¡Echa un vistazo a su experiencia en @thebridge! 👀👇  Más info sobre el #parttime  https://t.co/ZuOQNwWc1H  https://t.co/AOMd0zx3FI",es,2022-08-26,12:52:56,1162694149956603904,The Bridge,thebridge_tech,1,0,1
1562455573613817859,@TheBridge_Tech y la Fundación @uc3m firman un convenio para ofrecer #Bootcamps de #FullStak a partir de 2023 en el Campus de Puerta de Toledo.   https://t.co/S86r7sIygQ,es,2022-08-24,17:03:32,428513442,Innovaspain,innovaspain,0,0,0
1562432037436489728,La @uc3m se une a @TheBridge_Tech para potenciar la formación en desarrollo web.  Ambas entidades ofrecerán bootcamps de Full Stak a partir de 2023 en el Campus de Puerta de Toledo  #UniversidadExcelente    https://t.co/b6W9OGHMg1,es,2022-08-24,15:30:00,2846700448,ConferenciaCS,conferenciacs,2,0,2
1562020403199066112,¡Ven a nuestro Open Day #Sevilla! 🙌Acércate a conocer el campus de @ENCamaraSevilla y todo sobre los bootcamps en #ciber #data y #fullstack 🧑‍💻¿Quieres acelerar tu carrera digital?  🎟Saca ya tu entrada y si quieres vente con un amig@ 👇 https://t.co/Ic7PjZCIlt  ¡Te esperamos!,es,2022-08-23,12:14:19,1162694149956603904,The Bridge,thebridge_tech,1,0,2
1560688806445174790,"🤝🏼 @ceeivalencia y @TheBridge_Tech, primera aceleradora de talento digital, firman un convenio de colaboración:  https://t.co/8neFc4j8i4  🎯 Complementar la formación técnica del nuevo talento, entre sus principales objetivos.",es,2022-08-19,20:03:02,89141857,Emprenemjunts,emprenemjunts,1,0,0
1558009488678043649,🙌¡Ya han salido las listas de @CourseReport 2022 y nuestros #bootcamps de #UXUIProductDesign y #DataScience han sido seleccionados entre los mejores del mundo! ☺ Se unen así a los programas de #Ciberseguridad y #MarketingDigital ¡Estamos muy orgullosos!  https://t.co/ofNwNRCnIT,es,2022-08-12,10:36:23,1162694149956603904,The Bridge,thebridge_tech,4,0,5
1557454010919043079,"Muy buena sensación irse de vacaciones con el trabajo hecho en @TheBridge_Tech Más alumnos, más satisfacción, más empleabilidad y ahora revalidamos nuestra posición en 4 rankings de @CourseReport. Y en septiembre más!",es,2022-08-10,21:49:06,12085582,diegodl,diegodl,1,0,2
1557283166926299137,¡Estamos de enhorabuena! Lanzamos un nuevo programa de #desarrollowebfullstack con la @fundacionuc3! Muy ilusionados de colaborar con una institución de referencia ¿Ready para ser #fullstack? ¡Aprende todos los secretos del #frontend y #backend! Más info👉  https://t.co/uCUqBRFdzo  https://t.co/Q6NGSftBIQ,es,2022-08-10,10:30:14,1162694149956603904,The Bridge,thebridge_tech,2,0,1
